power_w,irradiance_wm2,module_temp_c
8933.0,456.5,24.35
9261.6,474.4,24.4
9294.0,472.9,24.5
8995.9,469.3,24.65
9781.0,490.2,24.8
7703.9,401.4,24.6
11040.2,507.4,24.4
11463.8,525.5,24.6
13378.6,664.9,25.0
14080.1,640.1,25.7
9969.8,486.9,25.95
8905.6,482.2,25.8
13765.5,729.6,26.25
15800.0,779.8,27.25
10690.4,493.5,27.55
7656.1,393.9,27.15
7912.8,392.1,26.5
7527.8,392.7,25.9
8530.8,422.7,25.25
8125.4,412.0,24.8
8238.2,408.4,24.45
8375.9,409.9,24.3
7538.6,377.1,24.05
7069.1,353.6,23.9
6661.9,343.4,23.65
6668.0,338.7,23.4
6894.1,352.9,23.15
7109.4,365.5,22.9
7624.2,383.3,22.95
7506.2,373.4,22.95
7054.4,347.4,22.95
5900.3,295.5,22.8
5222.0,274.3,22.75
5191.6,274.1,22.6
5561.7,294.7,22.5
6448.8,328.1,22.3
7031.4,367.1,22.15
9587.8,466.5,22.35
10583.4,533.4,22.7
11312.6,579.8,23.35
12606.0,647.4,24.2
13108.8,659.1,25.0
12655.3,640.4,25.7
13445.3,677.1,26.4
13259.8,684.9,27.0
13033.9,656.5,27.55
11738.5,598.3,27.9
10768.1,551.2,28.05
10170.1,460.3,27.95
10389.6,540.5,27.6
12239.7,635.6,27.75
14459.1,614.4,27.9
8547.2,421.3,27.6
6282.7,348.8,27.1
16994.0,873.4,27.65
18229.8,937.1,28.75
17982.8,937.1,29.4
17265.0,903.5,29.85
16777.6,877.6,30.55
17052.0,900.3,31.4
17566.8,923.3,31.85
17450.7,923.5,32.15
17657.7,926.0,32.8
17362.2,921.7,33.55
17654.7,918.2,34.35
17180.0,915.9,34.95
17016.4,845.5,34.65
16446.8,778.5,34.15
8350.9,720.3,33.2
15791.9,829.9,33.05
15103.4,797.4,33.05
14593.5,754.1,32.75
13746.8,718.3,32.2
13485.1,706.2,31.95
13693.3,720.2,31.85
14126.2,767.1,31.55
15619.9,829.5,31.6
16224.5,859.7,31.9
16535.6,878.5,32.25
17335.6,924.3,32.85
18403.6,874.6,33.6
17765.2,918.2,34.4
16960.5,896.4,35.0
17175.3,905.0,35.7
16266.9,860.9,36.15
15940.7,824.5,36.05
14227.5,735.6,35.55
13277.8,696.4,35.1
12355.2,647.3,34.5
12058.6,637.5,34.25
12216.4,622.0,33.75
9874.8,545.0,33.0
11382.0,592.5,32.3
11268.0,599.8,31.9
11657.1,598.7,31.65
11282.3,574.7,31.3
10387.9,523.7,31.1
8627.3,457.9,30.65
7576.1,416.8,29.8
10636.0,547.8,29.25
11488.2,602.6,29.0
11596.6,583.1,29.05
11622.3,578.6,29.2
11293.0,579.3,29.3
